I,J,K
4579,4572,4580
63,3777,480
2327,4581,2798
4582,2589,4948
4948,4581,4582
4581,4948,2798
2053,4581,4949
2083,4584,4583
835,646,4268
259,1029,621
2815,4583,2121
4583,4587,2121
2589,4582,4584
4176,1346,4588
4558,3970,2795
3970,4558,1370
3267,1164,1436
4600,1591,4601
1977,3783,257
1619,3131,1618
790,779,4591
1933,2234,4261
1912,713,3417
4621,318,1827
2773,1772,3747
713,779,780
694,2147,793
5230,4601,3665
3492,4616,5587
1144,4655,1354
2740,1354,4655
2042,4650,1280
1228,1227,865
707,32,708
79,2158,636
521,3120,4620
2165,1531,766
4608,3149,2654
4621,3054,3053
521,4620,1085
4627,4626,4648
3149,4608,757
2967,1977,257
532,1756,3144
4630,390,951
3837,4630,4618
1446,1119,3369
1191,414,3326
1684,532,384
2584,1060,2317
1658,1657,3286
1301,2799,829
4639,3515,4640
1370,4596,3053
2111,774,4644
1857,713,3439
1979,521,2416
3722,390,2085
580,794,2520
3369,3605,4637
3345,3591,636
4299,3501,126
1842,1398,4281
3071,126,3501
1086,4478,283
3144,3994,478
319,2912,237
1381,1636,2008
1712,3297,1187
4066,1117,3572
108,2960,4434
2529,1437,4681
2311,4145,4626
4295,840,841
857,3994,3989
4965,4656,4657
384,532,3144
1857,1184,4623
2547,2372,4205
807,130,1734
55,4360,1912
3501,1827,318
1036,1884,4162
1482,2368,2699
4691,4184,4156
3892,2942,2071
4145,1529,4626
3501,4299,4624
951,390,298
3510,4152,4066
2755,3787,4156
745,3300,1899
4293,741,2695
1630,4681,4544
4653,4492,4677
620,2675,778
1216,4075,3890
268,2617,1059
4686,4698,4293
1699,2919,2311
3439,3133,1184
279,128,877
53,2807,2908
791,1906,1650
4695,3724,455
2539,3766,4776
3006,4374,1045
2336,1121,3632
2860,4152,791
1926,3148,4752
4617,4698,4686
3725,1728,455
4709,5319,4738
2070,4660,58
326,3472,865
4647,3991,4697
966,3818,1322
1641,3928,3611
4223,3724,4694
2818,2819,1077
58,4697,2070
893,3668,1185
3157,262,4724
2287,3077,3594
3489,3688,811
1730,1274,1630
2621,1341,4700
4681,1274,2123
3928,1229,3611
2587,3077,2782
2587,3253,3077
2388,3799,4725
3122,4613,4184
1254,3472,4685
686,5117,2276
1630,58,4660
1326,2709,3992
3045,4142,1644
1667,2587,2782
1675,3413,1962
1728,4734,4615
2615,1229,2362
518,1770,1846
4136,4715,3454
2324,3090,553
553,1366,1493
1805,3325,1148
1868,3380,2186
4706,1640,3294
1061,4615,2661
1654,4746,1223
3122,4691,2035
4332,2818,2326
377,4725,4726
4685,326,2861
2621,1543,1341
2575,3442,2576
692,3245,1333
4740,2213,453
4667,3195,3715
863,4188,462
351,2763,596
1302,4097,508
875,612,2558
