NO_OF_FRAMES	6378
NO_OF_CAMERAS	14
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:36:43.083	87607.09578570
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter_tip1	catheter_tip2	catheter_tip3	catheter_tip4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Virtual	Measured
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter_tip1 X	catheter_tip1 Y	catheter_tip1 Z	catheter_tip2 X	catheter_tip2 Y	catheter_tip2 Z	catheter_tip3 X	catheter_tip3 Y	catheter_tip3 Z	catheter_tip4 X	catheter_tip4 Y	catheter_tip4 Z	
92	0.45500	338.616	353.353	182.595	302.107	413.425	148.484	351.609	347.215	90.438	301.817	320.049	154.352	303.311	84.558	-20.457	356.263	72.257	3.584	60.981	67.503	-21.933	305.259	42.805	-19.805
93	0.46000	338.618	353.362	182.597	302.112	413.408	148.497	351.614	347.214	90.441	301.813	320.042	154.367	303.306	84.562	-20.451	356.268	72.247	3.575	60.977	67.525	-21.855	305.255	42.801	-19.803
94	0.46500	338.614	353.359	182.609	302.111	413.420	148.498	351.611	347.231	90.455	301.815	320.047	154.349	303.293	84.571	-20.453	356.264	72.263	3.580	60.982	67.402	-21.914	305.282	42.816	-19.819
95	0.47000	338.603	353.371	182.607	302.099	413.430	148.493	351.608	347.223	90.453	301.810	320.050	154.359	303.308	84.547	-20.449	356.260	72.271	3.584	60.927	67.756	-21.776	305.113	42.744	-19.772
96	0.47500	338.602	353.357	182.610	302.102	413.436	148.484	351.607	347.231	90.452	301.809	320.039	154.359	303.308	84.556	-20.440	356.258	72.262	3.579	60.981	67.427	-21.863	305.273	42.809	-19.800
97	0.48000	338.596	353.365	182.606	302.101	413.419	148.495	351.604	347.224	90.454	301.807	320.061	154.362	303.299	84.562	-20.451	356.255	72.276	3.584	60.978	67.406	-21.943	305.269	42.824	-19.822
98	0.48500	338.597	353.374	182.609	302.099	413.431	148.494	351.597	347.227	90.460	301.814	320.064	154.365	303.314	84.549	-20.450	356.258	72.263	3.582	60.984	67.437	-21.881	305.274	42.790	-19.779
99	0.49000	338.599	353.380	182.610	302.102	413.437	148.485	351.606	347.238	90.464	301.807	320.068	154.373	303.317	84.544	-20.447	356.264	72.260	3.574	60.989	67.391	-21.908	305.280	42.810	-19.824
100	0.49500	338.597	353.382	182.621	302.103	413.437	148.491	351.607	347.238	90.464	301.802	320.069	154.370	303.306	84.564	-20.451	356.261	72.265	3.572	60.982	67.412	-21.924	305.272	42.820	-19.839
101	0.50000	338.601	353.391	182.621	302.089	413.451	148.479	351.609	347.239	90.467	301.803	320.068	154.363	303.304	84.534	-20.449	356.263	72.254	3.575	60.977	67.456	-21.849	305.262	42.813	-19.795
