NO_OF_FRAMES	12020
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:49:28.214	91972.22731710
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
54	0.26500	418.751	335.009	221.172	390.968	393.699	177.866	451.068	325.418	133.943	388.720	300.493	187.121	317.265	481.540	15.045	188.691	481.805	2.651	314.791	481.762	30.909	360.826	513.368	30.644	356.725	480.114	54.155	412.700	477.222	34.168	117.855	488.188	2.111
55	0.27000	418.763	334.999	221.180	390.973	393.707	177.861	451.068	325.420	133.947	388.715	300.499	187.115	317.252	481.547	15.027	188.671	481.772	2.654	314.790	481.775	30.914	360.846	513.359	30.649	356.721	480.114	54.050	412.692	477.217	34.178	117.859	488.214	2.111
56	0.27500	418.755	335.017	221.172	390.969	393.716	177.856	451.062	325.421	133.949	388.721	300.497	187.123	317.255	481.547	15.018	188.703	481.730	2.673	314.796	481.769	30.912	360.829	513.364	30.650	356.718	480.109	54.145	412.712	477.217	34.177	117.847	488.218	2.108
57	0.28000	418.747	335.006	221.175	390.979	393.710	177.862	451.065	325.423	133.946	388.725	300.501	187.127	317.239	481.548	14.987	188.683	481.741	2.659	314.793	481.765	30.895	360.838	513.368	30.645	356.722	480.113	54.141	412.697	477.213	34.186	117.853	488.219	2.072
58	0.28500	418.750	334.997	221.163	390.975	393.712	177.859	451.069	325.412	133.959	388.720	300.498	187.128	317.249	481.544	15.016	188.674	481.744	2.644	314.795	481.765	30.895	360.823	513.374	30.631	356.719	480.113	54.153	412.707	477.207	34.184	117.831	488.192	2.096
59	0.29000	418.755	335.011	221.157	390.973	393.709	177.860	451.068	325.415	133.943	388.715	300.480	187.110	317.251	481.546	15.013	188.696	481.726	2.675	314.796	481.769	30.904	360.839	513.378	30.631	356.714	480.109	54.076	412.697	477.212	34.176	117.837	488.196	2.085
60	0.29500	418.746	335.012	221.162	390.967	393.704	177.865	451.061	325.427	133.944	388.724	300.504	187.105	317.240	481.516	15.004	188.684	481.767	2.668	314.788	481.752	30.905	360.831	513.348	30.640	356.722	480.096	54.151	412.716	477.205	34.176	117.832	488.199	2.102
61	0.30000	418.752	335.001	221.173	390.971	393.714	177.860	451.060	325.414	133.946	388.713	300.492	187.111	317.231	481.531	15.027	188.668	481.745	2.658	314.795	481.764	30.898	360.829	513.360	30.642	356.720	480.107	54.142	412.697	477.212	34.188	117.834	488.184	2.071
62	0.30500	418.751	334.999	221.164	390.964	393.703	177.859	451.060	325.410	133.948	388.707	300.488	187.108	317.248	481.514	15.025	188.680	481.715	2.685	314.798	481.754	30.904	360.838	513.360	30.637	356.720	480.102	54.136	412.690	477.231	34.193	117.822	488.207	2.069
63	0.31000	418.749	335.003	221.167	390.963	393.707	177.862	451.065	325.418	133.939	388.706	300.486	187.114	317.244	481.555	15.009	188.693	481.753	2.641	314.797	481.755	30.894	360.827	513.348	30.622	356.713	480.124	54.141	412.707	477.202	34.171	117.840	488.185	2.085
