NO_OF_FRAMES	5630
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:03:50.756	89234.76822660
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
57	0.28000	419.931	339.230	221.126	390.573	397.093	177.895	451.977	330.157	133.759	390.604	304.021	187.279	316.927	472.216	47.159	190.772	474.850	17.431	319.236	464.766	34.035	364.670	441.959	29.901	364.070	483.907	30.330	412.377	469.419	61.838	122.593	469.028	-1.082
58	0.28500	419.921	339.235	221.131	390.581	397.093	177.900	451.977	330.157	133.755	390.600	304.023	187.279	316.919	472.206	47.167	190.776	474.839	17.445	319.240	464.792	34.024	364.656	441.929	29.878	364.074	483.874	30.347	412.374	469.423	61.836	122.586	469.045	-1.091
59	0.29000	419.926	339.230	221.136	390.574	397.093	177.892	451.983	330.151	133.753	390.588	304.018	187.269	316.932	472.202	47.169	190.771	474.835	17.458	319.252	464.928	33.967	364.684	441.936	29.858	364.083	483.856	30.343	412.371	469.409	61.833	122.590	469.017	-1.113
60	0.29500	419.923	339.236	221.133	390.573	397.087	177.902	451.974	330.151	133.767	390.588	304.022	187.277	316.923	472.199	47.175	190.771	474.841	17.461	319.246	464.774	34.030	364.661	441.931	29.880	364.066	483.889	30.324	412.378	469.417	61.838	122.759	468.497	-0.531
61	0.30000	419.921	339.226	221.129	390.574	397.108	177.890	451.970	330.153	133.762	390.600	304.016	187.284	316.927	472.208	47.159	190.786	474.834	17.455	319.234	464.770	34.016	364.662	441.959	29.878	364.061	483.876	30.322	412.364	469.426	61.837	122.583	469.015	-1.118
62	0.30500	419.948	339.203	221.165	390.569	397.095	177.890	451.969	330.157	133.767	390.589	304.022	187.287	316.911	472.211	47.157	190.785	474.828	17.479	319.247	464.896	33.966	364.693	441.931	29.872	364.060	483.868	30.333	412.374	469.421	61.828	122.576	469.018	-1.123
63	0.31000	419.956	339.205	221.160	390.568	397.087	177.895	451.972	330.155	133.755	390.586	304.016	187.266	316.925	472.189	47.165	190.786	474.805	17.478	319.237	464.902	33.955	364.657	441.951	29.888	364.058	483.893	30.316	412.365	469.419	61.836	122.592	469.028	-1.114
64	0.31500	419.947	339.207	221.162	390.562	397.092	177.897	451.974	330.155	133.764	390.595	304.029	187.283	316.919	472.194	47.154	190.781	474.826	17.479	319.228	464.775	34.033	364.662	441.926	29.875	364.057	483.848	30.333	412.361	469.418	61.844	122.757	468.515	-0.524
65	0.32000	419.916	339.222	221.133	390.565	397.094	177.898	451.976	330.163	133.764	390.590	304.034	187.283	316.941	472.210	47.141	190.791	474.831	17.490	319.229	464.770	34.021	364.668	441.939	29.887	364.068	483.877	30.321	412.364	469.433	61.831	122.595	469.031	-1.095
66	0.32500	419.916	339.230	221.135	390.574	397.094	177.895	451.967	330.154	133.758	390.600	304.019	187.276	316.927	472.198	47.135	190.796	474.822	17.495	319.232	464.895	33.955	364.677	441.962	29.871	364.066	483.877	30.343	412.362	469.412	61.832	122.591	469.016	-1.099
67	0.33000	419.918	339.230	221.139	390.563	397.097	177.889	451.968	330.155	133.765	390.595	304.020	187.273	316.935	472.229	47.125	190.801	474.829	17.503	319.242	464.919	33.955	364.681	441.927	29.867	364.049	483.884	30.333	412.360	469.410	61.833	122.750	468.500	-0.513
68	0.33500	419.918	339.227	221.132	390.568	397.091	177.891	451.965	330.159	133.759	390.587	304.024	187.299	316.941	472.214	47.126	190.804	474.830	17.514	319.228	464.766	34.029	364.698	441.940	29.876	364.066	483.868	30.315	412.367	469.415	61.836	122.758	468.501	-0.531
69	0.34000	419.912	339.232	221.132	390.564	397.086	177.890	451.967	330.146	133.766	390.590	304.032	187.265	316.923	472.205	47.158	190.792	474.843	17.520	319.244	464.887	33.963	364.679	441.931	29.850	364.064	483.875	30.343	412.355	469.421	61.847	122.596	469.009	-1.096
70	0.34500	419.914	339.222	221.133	390.568	397.092	177.890	451.970	330.147	133.761	390.586	304.015	187.277	316.939	472.208	47.128	190.803	474.835	17.532	319.246	464.901	33.940	364.678	441.934	29.878	364.067	483.872	30.331	412.374	469.414	61.847	122.590	469.020	-1.103
